HOG	OG	Gene Tree Parent Clade	CBDRx	CBDRx_proteins	Cannbio-2_proteins	Cascade	ERB_F3_proteins	ERBxHO40_23_hirisehap1_proteins	ERBxHO40_23_hirisehap2_proteins	Finola_proteins	HO40_proteins	I3_proteins	JL_Mother_proteins	Parasponia_andersonii	Purple_Kush_proteins	Trema_orientale	W103_proteins	jl_proteins
N13.HOG0000033	OG0000002	n255											JL_Mother_g2254.t1_1, JL_Mother_g2678.t1_1					
N13.HOG0000034	OG0000002	n277											JL_Mother_g799.t1_1, JL_Mother_g797.t1_1					
N13.HOG0000035	OG0000002	n284										I3_g9331.t1_1	JL_Mother_g24156.t1_1					
N13.HOG0000036	OG0000002	n288											JL_Mother_g36810.t1_1, JL_Mother_g26710.t1_1					
N13.HOG0000037	OG0000002	n290											JL_Mother_g15548.t1_1, JL_Mother_g15549.t1_1					
N13.HOG0000038	OG0000002	n305										I3_g44811.t1_1	JL_Mother_g3254.t1_1					
N13.HOG0000039	OG0000002	n309											JL_Mother_g9651.t1_1					
N13.HOG0000040	OG0000002	n337											JL_Mother_g5585.t1_1					
N13.HOG0000041	OG0000002	n349											JL_Mother_g13375.t1_1					
N13.HOG0000042	OG0000002	n351											JL_Mother_g13012.t1_1					
N13.HOG0000043	OG0000002	n358										I3_g14862.t1_1						
N13.HOG0000044	OG0000002	n361										I3_g24475.t1_1	JL_Mother_g37046.t1_1					
N13.HOG0000045	OG0000002	n367											JL_Mother_g2949.t1_1					
N13.HOG0000046	OG0000002	n372										I3_g190.t1_1	JL_Mother_g10819.t1_1					
N13.HOG0000047	OG0000002	n379										I3_g17102.t1_1						
N13.HOG0000048	OG0000002	n391											JL_Mother_g2010.t1_1					
N13.HOG0000049	OG0000002	n397										I3_g7602.t1_1						
N13.HOG0000050	OG0000002	n414											JL_Mother_g13275.t1_1					
N13.HOG0000051	OG0000002	n423											JL_Mother_g2634.t1_1					
N13.HOG0000052	OG0000002	n425										I3_g12737.t1_1, I3_g12737.t2_1						
N13.HOG0000053	OG0000002	n434										I3_g24655.t1_1						
N13.HOG0000054	OG0000002	n438											JL_Mother_g189.t1_1, JL_Mother_g189.t2_1					
N13.HOG0000055	OG0000002	n440											JL_Mother_g1246.t1_1					
N13.HOG0000056	OG0000002	n442											JL_Mother_g25091.t1_1					
N13.HOG0000057	OG0000002	n483											JL_Mother_g13387.t1_1					
N13.HOG0000058	OG0000002	n485										I3_g7134.t1_1						
N13.HOG0000059	OG0000002	n494											JL_Mother_g28594.t1_1					
N13.HOG0000060	OG0000002	n497											JL_Mother_g9636.t1_1					
N13.HOG0000061	OG0000002	n501										I3_g30806.t1_1						
N13.HOG0000062	OG0000002	n534											JL_Mother_g25816.t1_1					
N13.HOG0000063	OG0000002	n549											JL_Mother_g24157.t1_1					
N13.HOG0000064	OG0000002	n552											JL_Mother_g25786.t1_1, JL_Mother_g9567.t1_1, JL_Mother_g3208.t1_1					
N13.HOG0000065	OG0000002	n556											JL_Mother_g4346.t1_1, JL_Mother_g31432.t1_1, JL_Mother_g3005.t1_1					
N13.HOG0000066	OG0000002	n559											JL_Mother_g12976.t1_1					
N13.HOG0000067	OG0000002	n560											JL_Mother_g13147.t1_1					
N13.HOG0000068	OG0000002	n561											JL_Mother_g5835.t1_1, JL_Mother_g184.t1_1					
N13.HOG0000069	OG0000002	n564											JL_Mother_g29641.t1_1					
N13.HOG0000070	OG0000002	n568											JL_Mother_g3766.t1_1, JL_Mother_g9613.t1_1					
N13.HOG0000071	OG0000002	n572											JL_Mother_g5305.t1_1					
N13.HOG0000072	OG0000002	n574											JL_Mother_g1729.t1_1					
N13.HOG0000073	OG0000002	n575										I3_g38989.t2_1						
N13.HOG0000074	OG0000002	n595											JL_Mother_g6480.t1_1, JL_Mother_g2111.t1_1					
N13.HOG0000075	OG0000002	n597											JL_Mother_g40181.t1_1, JL_Mother_g8743.t1_1					
N13.HOG0000076	OG0000002	n599											JL_Mother_g33711.t1_1, JL_Mother_g5191.t1_1					
N13.HOG0000077	OG0000002	n600											JL_Mother_g13297.t1_1					
N13.HOG0000078	OG0000002	n604											JL_Mother_g538.t1_1					
N13.HOG0000079	OG0000002	n607											JL_Mother_g5423.t1_1					
N13.HOG0000080	OG0000002	n608											JL_Mother_g950.t1_1					
N13.HOG0000081	OG0000002	n610										I3_g5707.t1_1	JL_Mother_g24074.t1_1					
N13.HOG0000082	OG0000002	n614										I3_g24650.t1_1						
N13.HOG0000083	OG0000002	n622										I3_g99.t1_1						
N13.HOG0000084	OG0000002	n638											JL_Mother_g25966.t1_1					
N13.HOG0000085	OG0000002	n639											JL_Mother_g15630.t1_1					
N13.HOG0000086	OG0000002	n642										I3_g18558.t1_1						
N13.HOG0000087	OG0000002	n643										I3_g32428.t1_1						
N13.HOG0000088	OG0000002	n645										I3_g46826.t1_1	JL_Mother_g2702.t1_1, JL_Mother_g3486.t1_1					
N13.HOG0000089	OG0000002	n659										I3_g9111.t1_1, I3_g380.t1_1	JL_Mother_g36809.t1_1					
N13.HOG0000090	OG0000002	n665										I3_g928.t1_1	JL_Mother_g22514.t1_1					
N13.HOG0000091	OG0000002	n671										I3_g3750.t1_1						
N13.HOG0000092	OG0000002	n675											JL_Mother_g29969.t1_1					
N13.HOG0000093	OG0000002	n678											JL_Mother_g14999.t1_1					
N13.HOG0000094	OG0000002	n683										I3_g4885.t1_1	JL_Mother_g25087.t1_1					
N13.HOG0000095	OG0000002	n691										I3_g37158.t1_1						
N13.HOG0000096	OG0000002	n697											JL_Mother_g37876.t1_1					
N13.HOG0000097	OG0000002	n709										I3_g16925.t1_1						
N13.HOG0000098	OG0000002	n721										I3_g34494.t1_1						
N13.HOG0000099	OG0000002	n722										I3_g5568.t1_1						
N13.HOG0000100	OG0000002	n726										I3_g22841.t1_1						
N13.HOG0000101	OG0000002	n731										I3_g38989.t1_1						
N13.HOG0000102	OG0000002	n734										I3_g17144.t1_1, I3_g9190.t1_1, I3_g8251.t1_1						
N13.HOG0000103	OG0000002	n740										I3_g10320.t1_1	JL_Mother_g13388.t1_1					
N13.HOG0000104	OG0000002	n742											JL_Mother_g40566.t1_1					
N13.HOG0000105	OG0000002	n743										I3_g2382.t1_1	JL_Mother_g23677.t1_1					
N13.HOG0000106	OG0000002	n746											JL_Mother_g15096.t1_1					
N13.HOG0000107	OG0000002	n748											JL_Mother_g18744.t1_1					
N13.HOG0000108	OG0000002	n752										I3_g5153.t1_1						
N13.HOG0000109	OG0000002	n760											JL_Mother_g2541.t1_1, JL_Mother_g13250.t1_1					
N13.HOG0000110	OG0000002	n766										I3_g24497.t1_1	JL_Mother_g27027.t1_1, JL_Mother_g22660.t1_1					
N13.HOG0000111	OG0000002	n770										I3_g1279.t1_1, I3_g10243.t1_1	JL_Mother_g1612.t1_1, JL_Mother_g680.t1_1					
N13.HOG0000112	OG0000002	n777										I3_g2321.t1_1	JL_Mother_g3458.t1_1					
N13.HOG0000113	OG0000002	n780										I3_g15284.t1_1						
N13.HOG0000114	OG0000002	n784											JL_Mother_g4156.t1_1					
N13.HOG0000115	OG0000002	n797											JL_Mother_g4390.t1_1					
N13.HOG0000116	OG0000002	n800											JL_Mother_g10473.t1_1, JL_Mother_g11313.t1_1					
N13.HOG0000117	OG0000002	n805											JL_Mother_g4161.t1_1					
N13.HOG0000118	OG0000002	n818											JL_Mother_g35256.t1_1					
N13.HOG0000119	OG0000002	n821										I3_g18448.t1_1						
N13.HOG0000120	OG0000002	n826											JL_Mother_g15136.t1_1					
N13.HOG0000121	OG0000002	n831										I3_g5210.t1_1						
N13.HOG0000122	OG0000002	n848											JL_Mother_g27446.t1_1					
N13.HOG0000123	OG0000002	n852										I3_g13890.t1_1	JL_Mother_g8324.t1_1					
N13.HOG0000124	OG0000002	n866										I3_g16930.t1_1	JL_Mother_g5666.t1_1					
N13.HOG0000125	OG0000002	n877										I3_g32453.t1_1	JL_Mother_g5306.t1_1					
N13.HOG0000126	OG0000002	n884											JL_Mother_g13394.t1_1					
N13.HOG0000127	OG0000002	n889											JL_Mother_g40560.t1_1					
N13.HOG0000128	OG0000002	n902										I3_g7695.t1_1						
N13.HOG0000129	OG0000002	n917										I3_g6283.t1_1						
N13.HOG0000130	OG0000002	n922											JL_Mother_g7730.t1_1					
N13.HOG0000131	OG0000002	n930										I3_g2946.t1_1	JL_Mother_g3202.t1_1					
N13.HOG0000132	OG0000002	n939										I3_g326.t1_1						
N13.HOG0000133	OG0000002	n947											JL_Mother_g36822.t1_1					
N13.HOG0000134	OG0000002	n959											JL_Mother_g18348.t1_1					
N13.HOG0000135	OG0000002	n987										I3_g39011.t1_1						
N13.HOG0000136	OG0000002	n989										I3_g4743.t1_1						
N13.HOG0000137	OG0000002	n991										I3_g4904.t1_1	JL_Mother_g41142.t1_1					
N13.HOG0000138	OG0000002	n993										I3_g2927.t1_1	JL_Mother_g20233.t1_1					
N13.HOG0000139	OG0000002	n995										I3_g11299.t1_1						
N13.HOG0000140	OG0000002	n1002										I3_g14863.t1_1						
N13.HOG0000141	OG0000002	n1005										I3_g3099.t1_1, I3_g6052.t1_1, I3_g4842.t1_1						
N13.HOG0000142	OG0000002	n1020											JL_Mother_g13013.t1_1					
N13.HOG0000143	OG0000002	n1028										I3_g4559.t1_1	JL_Mother_g2303.t1_1					
N13.HOG0000144	OG0000002	n1031										I3_g5884.t1_1	JL_Mother_g23134.t1_1					
N13.HOG0000145	OG0000002	n1038										I3_g2586.t1_1						
N13.HOG0000146	OG0000002	n1048											JL_Mother_g15117.t1_1					
N13.HOG0000147	OG0000002	n1050											JL_Mother_g13374.t1_1					
N13.HOG0000148	OG0000007	n9										I3_g49415.t1_1						
N13.HOG0000149	OG0000007	n32										I3_g17891.t1_1						
N13.HOG0000150	OG0000007	n40										I3_g19259.t1_1						
N13.HOG0000151	OG0000007	n44										I3_g18696.t1_1						
N13.HOG0000152	OG0000007	n54											JL_Mother_g958.t1_1					
N13.HOG0000153	OG0000007	n64										I3_g16534.t1_1						
N13.HOG0000154	OG0000007	n65										I3_g41447.t1_1						
N13.HOG0000155	OG0000007	n68										I3_g11458.t1_1						
N13.HOG0000156	OG0000007	n69										I3_g6721.t1_1						
N13.HOG0000157	OG0000007	n77										I3_g22793.t2_1						
N13.HOG0000158	OG0000007	n80										I3_g22793.t1_1						
N13.HOG0000159	OG0000007	n81										I3_g7765.t1_1	JL_Mother_g40149.t1_1					
N13.HOG0000160	OG0000007	n84											JL_Mother_g21400.t1_1, JL_Mother_g17899.t1_1					
N13.HOG0000161	OG0000007	n89											JL_Mother_g24072.t1_1					
N13.HOG0000162	OG0000007	n103										I3_g9731.t1_1						
N13.HOG0000163	OG0000007	n107										I3_g25339.t1_1						
N13.HOG0000164	OG0000007	n110										I3_g29007.t1_1						
N13.HOG0000165	OG0000007	n112										I3_g24519.t1_1, I3_g6311.t1_1, I3_g6568.t1_1	JL_Mother_g3442.t1_1					
N13.HOG0000166	OG0000007	n119										I3_g46350.t1_1, I3_g46350.t2_1						
N13.HOG0000167	OG0000007	n127										I3_g25208.t1_1						
N13.HOG0000168	OG0000007	n132										I3_g6821.t1_1						
N13.HOG0000169	OG0000007	n137										I3_g41827.t2_1	JL_Mother_g5674.t1_1					
N13.HOG0000170	OG0000007	n145										I3_g19816.t1_1, I3_g8418.t1_1	JL_Mother_g15052.t1_1					
N13.HOG0000171	OG0000007	n151										I3_g42158.t1_1	JL_Mother_g28895.t1_1					
N13.HOG0000172	OG0000007	n153										I3_g33004.t1_1						
N13.HOG0000173	OG0000007	n157										I3_g9443.t1_1						
N13.HOG0000174	OG0000007	n160										I3_g3489.t2_1, I3_g3489.t1_1, I3_g5438.t1_1						
N13.HOG0000175	OG0000007	n171										I3_g12230.t1_1, I3_g26318.t1_1						
N13.HOG0000176	OG0000007	n175										I3_g12180.t1_1, I3_g12180.t2_1						
N13.HOG0000177	OG0000007	n177										I3_g4566.t1_1	JL_Mother_g11615.t1_1					
N13.HOG0000178	OG0000007	n195										I3_g39614.t1_1, I3_g41138.t1_1	JL_Mother_g40150.t1_1					
N13.HOG0000179	OG0000007	n199										I3_g46401.t1_1						
N13.HOG0000180	OG0000007	n201										I3_g17053.t1_1	JL_Mother_g3362.t2_1, JL_Mother_g3362.t1_1					
N13.HOG0000181	OG0000007	n209										I3_g21051.t1_1						
N13.HOG0000182	OG0000007	n227										I3_g18566.t1_1						
N13.HOG0000183	OG0000007	n229										I3_g28725.t1_1	JL_Mother_g33718.t1_1, JL_Mother_g37397.t1_1, JL_Mother_g39472.t1_1					
N13.HOG0000184	OG0000007	n245											JL_Mother_g40472.t1_1					
N13.HOG0000185	OG0000007	n252										I3_g37909.t1_1, I3_g38294.t1_1	JL_Mother_g9875.t1_1					
N13.HOG0000186	OG0000007	n261										I3_g21373.t1_1	JL_Mother_g39842.t1_1					
N13.HOG0000187	OG0000007	n286										I3_g37557.t1_1, I3_g30138.t1_1						
N13.HOG0000188	OG0000007	n289										I3_g18202.t1_1						
N13.HOG0000189	OG0000007	n294										I3_g11503.t1_1, I3_g47540.t1_1						
N13.HOG0000190	OG0000007	n297										I3_g47969.t1_1						
N13.HOG0000191	OG0000007	n301										I3_g45958.t1_1, I3_g18134.t1_1, I3_g15205.t1_1, I3_g41210.t1_1						
N13.HOG0000192	OG0000007	n307										I3_g23890.t1_1						
N13.HOG0000193	OG0000007	n313										I3_g46118.t1_1						
N13.HOG0000194	OG0000007	n315										I3_g36705.t1_1						
N13.HOG0000195	OG0000007	n319										I3_g29263.t1_1						
N13.HOG0000196	OG0000007	n327										I3_g37908.t1_1, I3_g8817.t1_1	JL_Mother_g11665.t1_1					
N13.HOG0000197	OG0000007	n332										I3_g9660.t1_1, I3_g26280.t1_1, I3_g560.t1_1	JL_Mother_g3554.t1_1					
N13.HOG0000198	OG0000007	n337										I3_g33415.t1_1, I3_g26974.t1_1	JL_Mother_g22528.t1_1					
N13.HOG0000199	OG0000007	n357										I3_g38630.t1_1						
N13.HOG0000200	OG0000007	n364										I3_g41378.t1_1						
N13.HOG0000201	OG0000007	n367										I3_g14979.t1_1						
N13.HOG0000202	OG0000007	n381										I3_g46043.t1_1	JL_Mother_g10327.t1_1					
N13.HOG0000203	OG0000007	n399										I3_g39421.t1_1	JL_Mother_g25414.t1_1					
N13.HOG0000204	OG0000007	n415										I3_g2290.t1_1	JL_Mother_g1639.t1_1					
N13.HOG0000205	OG0000007	n432										I3_g958.t1_1						
N13.HOG0000206	OG0000007	n436										I3_g33003.t1_1						
N13.HOG0000207	OG0000007	n437										I3_g41255.t1_1						
N13.HOG0000208	OG0000007	n441											JL_Mother_g38746.t1_1, JL_Mother_g7476.t1_1					
N13.HOG0000209	OG0000007	n451										I3_g7767.t1_1	JL_Mother_g40151.t1_1					
N13.HOG0000210	OG0000007	n457										I3_g25124.t1_1						
N13.HOG0000211	OG0000007	n458										I3_g5505.t1_1						
N13.HOG0000212	OG0000007	n459											JL_Mother_g21549.t1_1					
N13.HOG0000213	OG0000007	n464										I3_g17890.t1_1, I3_g30031.t1_1, I3_g29784.t1_1, I3_g46943.t1_1						
N13.HOG0000214	OG0000007	n471										I3_g41395.t1_1						
N13.HOG0000215	OG0000007	n480										I3_g39756.t1_1						
N13.HOG0000216	OG0000007	n486										I3_g10929.t1_1						
N13.HOG0000217	OG0000007	n487										I3_g23817.t1_1						
N13.HOG0000218	OG0000007	n494										I3_g5506.t1_1	JL_Mother_g11242.t1_1, JL_Mother_g17170.t1_1					
N13.HOG0000219	OG0000007	n498											JL_Mother_g35609.t1_1					
N13.HOG0000220	OG0000007	n506										I3_g36125.t1_1, I3_g44640.t1_1						
N13.HOG0000221	OG0000007	n508										I3_g47104.t1_1						
N13.HOG0000222	OG0000007	n509											JL_Mother_g3445.t1_1, JL_Mother_g28894.t1_1					
N13.HOG0000223	OG0000007	n511										I3_g16230.t1_1						
N13.HOG0000224	OG0000007	n532										I3_g13270.t1_1	JL_Mother_g38072.t1_1					
N13.HOG0000225	OG0000007	n535										I3_g19817.t1_1, I3_g21050.t1_1	JL_Mother_g17818.t1_1, JL_Mother_g15577.t1_1, JL_Mother_g3444.t1_1, JL_Mother_g5930.t1_1					
N13.HOG0000226	OG0000007	n544										I3_g14466.t1_1, I3_g14486.t1_1						
N13.HOG0000227	OG0000007	n548										I3_g25630.t1_1						
N13.HOG0000228	OG0000007	n554										I3_g25338.t1_1						
N13.HOG0000229	OG0000007	n572										I3_g42930.t1_1						
N13.HOG0000230	OG0000007	n573										I3_g20056.t1_1						
N13.HOG0000231	OG0000007	n585										I3_g9160.t1_1						
N13.HOG0000232	OG0000007	n593											JL_Mother_g33008.t1_1					
N13.HOG0000233	OG0000007	n601										I3_g19226.t1_1, I3_g17614.t1_1	JL_Mother_g3805.t1_1					
N13.HOG0000234	OG0000007	n604										I3_g2265.t1_1						
N13.HOG0000235	OG0000007	n616											JL_Mother_g39709.t1_1, JL_Mother_g21551.t1_1					
N13.HOG0000236	OG0000007	n621										I3_g16516.t2_1						
N13.HOG0000237	OG0000007	n625										I3_g48259.t1_1	JL_Mother_g38071.t1_1, JL_Mother_g22543.t1_1					
N13.HOG0000238	OG0000007	n634											JL_Mother_g23816.t1_1					
N13.HOG0000239	OG0000007	n641											JL_Mother_g317.t1_1					
N13.HOG0000240	OG0000007	n642										I3_g19948.t1_1, I3_g20673.t1_1	JL_Mother_g5333.t1_1					
N13.HOG0000241	OG0000007	n652										I3_g33395.t1_1, I3_g6838.t1_1, I3_g25273.t1_1	JL_Mother_g22628.t1_1, JL_Mother_g39917.t2_1					
N13.HOG0000242	OG0000007	n659										I3_g39516.t1_1	JL_Mother_g29740.t1_1					
N13.HOG0000243	OG0000007	n664										I3_g19131.t1_1	JL_Mother_g12143.t1_1, JL_Mother_g26078.t1_1					
N13.HOG0000244	OG0000007	n674										I3_g17010.t1_1						
N13.HOG0000245	OG0000007	n678										I3_g22517.t1_1						
N13.HOG0000246	OG0000007	n679										I3_g34328.t1_1						
N13.HOG0000247	OG0000007	n684										I3_g23611.t1_1, I3_g7049.t1_1, I3_g22446.t1_1						
N13.HOG0000248	OG0000007	n689										I3_g3558.t1_1	JL_Mother_g7752.t1_1					
N13.HOG0000249	OG0000007	n691										I3_g32153.t1_1, I3_g8842.t1_1	JL_Mother_g11680.t1_1					
N13.HOG0000250	OG0000007	n697										I3_g48258.t1_1, I3_g45919.t1_1	JL_Mother_g22542.t1_1					
N13.HOG0000251	OG0000007	n708											JL_Mother_g22152.t1_1					
N13.HOG0000252	OG0000007	n719										I3_g30688.t1_1	JL_Mother_g31477.t1_1					
N13.HOG0000253	OG0000007	n735										I3_g43560.t1_1						
N13.HOG0000254	OG0000007	n741											JL_Mother_g9783.t1_1					
N13.HOG0000255	OG0000007	n746										I3_g8361.t1_1						
N13.HOG0000256	OG0000007	n759											JL_Mother_g6623.t2_1					
N13.HOG0000257	OG0000007	n760										I3_g21348.t1_1, I3_g24416.t1_1, I3_g47539.t1_1	JL_Mother_g9874.t1_1					
N13.HOG0000258	OG0000007	n768										I3_g10020.t1_1	JL_Mother_g26600.t1_1					
N13.HOG0000259	OG0000007	n776										I3_g10767.t1_1						
N13.HOG0000260	OG0000007	n777										I3_g10849.t1_1						
N13.HOG0000261	OG0000007	n781										I3_g46410.t1_1, I3_g45367.t1_1	JL_Mother_g27389.t1_1, JL_Mother_g22879.t1_1					
N13.HOG0000262	OG0000007	n795										I3_g7288.t1_1	JL_Mother_g39138.t1_1					
N13.HOG0000263	OG0000007	n801										I3_g12477.t1_1, I3_g14978.t1_1						
N13.HOG0000264	OG0000007	n806										I3_g35699.t1_1						
N13.HOG0000265	OG0000007	n810										I3_g10465.t1_1						
N13.HOG0000266	OG0000008	n22										I3_g4408.t1_1	JL_Mother_g34768.t1_1					
N13.HOG0000267	OG0000008	n23										I3_g13359.t1_1	JL_Mother_g27258.t1_1					
N13.HOG0000268	OG0000008	n24										I3_g10031.t1_1	JL_Mother_g37150.t1_1					
N13.HOG0000269	OG0000008	n33											JL_Mother_g13829.t2_1					
N13.HOG0000270	OG0000008	n34										I3_g3020.t1_1	JL_Mother_g37694.t1_1, JL_Mother_g23700.t1_1, JL_Mother_g12924.t2_1, JL_Mother_g9590.t1_1					
N13.HOG0000271	OG0000008	n46											JL_Mother_g38356.t1_1					
N13.HOG0000272	OG0000008	n50											JL_Mother_g31049.t1_1					
N13.HOG0000273	OG0000008	n51										I3_g12963.t1_1	JL_Mother_g33398.t1_1, JL_Mother_g10520.t1_1					
N13.HOG0000274	OG0000008	n56											JL_Mother_g29770.t1_1					
N13.HOG0000275	OG0000008	n57										I3_g12774.t1_1	JL_Mother_g36460.t1_1, JL_Mother_g25910.t1_1, JL_Mother_g30360.t1_1					
N13.HOG0000276	OG0000008	n61											JL_Mother_g25822.t1_1					
N13.HOG0000277	OG0000008	n68											JL_Mother_g1205.t1_1					
N13.HOG0000278	OG0000008	n70											JL_Mother_g27937.t1_1					
N13.HOG0000279	OG0000008	n71										I3_g45171.t1_1	JL_Mother_g8345.t1_1, JL_Mother_g13363.t1_1					
N13.HOG0000280	OG0000008	n85											JL_Mother_g32291.t1_1					
N13.HOG0000281	OG0000008	n86											JL_Mother_g26668.t1_1					
N13.HOG0000282	OG0000008	n92											JL_Mother_g3956.t2_1					
N13.HOG0000283	OG0000008	n101										I3_g29798.t1_1						
N13.HOG0000284	OG0000008	n103										I3_g42315.t1_1						
N13.HOG0000285	OG0000008	n104										I3_g47041.t1_1	JL_Mother_g5232.t1_1					
N13.HOG0000286	OG0000008	n114										I3_g6633.t1_1	JL_Mother_g11657.t1_1, JL_Mother_g12874.t1_1, JL_Mother_g2787.t1_1, JL_Mother_g18570.t1_1					
N13.HOG0000287	OG0000008	n136										I3_g42230.t1_1	JL_Mother_g26676.t1_1, JL_Mother_g29827.t1_1, JL_Mother_g5726.t1_1					
N13.HOG0000288	OG0000008	n151											JL_Mother_g26654.t1_1					
N13.HOG0000289	OG0000008	n159											JL_Mother_g35540.t1_1					
N13.HOG0000290	OG0000008	n160											JL_Mother_g19582.t1_1					
N13.HOG0000291	OG0000008	n162											JL_Mother_g29439.t1_1, JL_Mother_g6689.t1_1					
N13.HOG0000292	OG0000008	n167											JL_Mother_g23107.t1_1					
N13.HOG0000293	OG0000008	n190										I3_g19892.t1_1						
N13.HOG0000294	OG0000008	n194											JL_Mother_g38974.t1_1					
N13.HOG0000295	OG0000008	n201											JL_Mother_g37338.t1_1					
N13.HOG0000296	OG0000008	n203										I3_g5894.t1_1	JL_Mother_g39158.t1_1					
N13.HOG0000297	OG0000008	n211										I3_g20401.t1_1						
N13.HOG0000298	OG0000008	n212										I3_g4459.t1_1						
N13.HOG0000299	OG0000008	n219											JL_Mother_g4530.t1_1					
N13.HOG0000300	OG0000008	n223										I3_g35266.t1_1						
N13.HOG0000301	OG0000008	n236										I3_g6084.t2_1						
N13.HOG0000302	OG0000008	n237										I3_g26113.t1_1	JL_Mother_g21096.t1_1					
N13.HOG0000303	OG0000008	n243										I3_g19338.t1_1						
N13.HOG0000304	OG0000008	n246										I3_g491.t1_1						
N13.HOG0000305	OG0000008	n247										I3_g13158.t1_1						
N13.HOG0000306	OG0000008	n252										I3_g19736.t1_1	JL_Mother_g25623.t1_1, JL_Mother_g36772.t1_1					
N13.HOG0000307	OG0000008	n257											JL_Mother_g452.t1_1					
N13.HOG0000308	OG0000008	n261										I3_g35389.t1_1						
N13.HOG0000309	OG0000008	n263										I3_g9252.t1_1, I3_g28225.t1_1						
N13.HOG0000310	OG0000008	n277										I3_g36308.t1_1	JL_Mother_g16783.t1_1					
N13.HOG0000311	OG0000008	n280											JL_Mother_g39409.t1_1					
N13.HOG0000312	OG0000008	n281										I3_g9322.t1_1	JL_Mother_g31714.t1_1					
N13.HOG0000313	OG0000008	n304										I3_g42790.t1_1	JL_Mother_g22641.t1_1					
N13.HOG0000314	OG0000008	n312											JL_Mother_g34759.t1_1					
N13.HOG0000315	OG0000008	n313											JL_Mother_g19309.t1_1					
N13.HOG0000316	OG0000008	n316											JL_Mother_g8507.t1_1					
N13.HOG0000317	OG0000008	n320										I3_g35166.t1_1						
N13.HOG0000318	OG0000008	n325										I3_g49627.t1_1	JL_Mother_g19142.t1_1					
N13.HOG0000319	OG0000008	n332											JL_Mother_g15113.t1_1					
N13.HOG0000320	OG0000008	n338											JL_Mother_g24010.t1_1					
N13.HOG0000321	OG0000008	n342											JL_Mother_g22115.t1_1, JL_Mother_g41382.t1_1					
N13.HOG0000322	OG0000008	n344											JL_Mother_g41451.t2_1, JL_Mother_g41451.t1_1, JL_Mother_g32789.t2_1, JL_Mother_g12924.t1_1, JL_Mother_g13712.t1_1					
N13.HOG0000323	OG0000008	n354											JL_Mother_g23832.t1_1					
N13.HOG0000324	OG0000008	n357											JL_Mother_g12443.t1_1					
