HOG	OG	Gene Tree Parent Clade	CBDRx	CBDRx_proteins	Cannbio-2_proteins	Cascade	ERB_F3_proteins	ERBxHO40_23_hirisehap1_proteins	ERBxHO40_23_hirisehap2_proteins	Finola_proteins	HO40_proteins	I3_proteins	JL_Mother_proteins	Parasponia_andersonii	Purple_Kush_proteins	Trema_orientale	W103_proteins	jl_proteins
N1.HOG0000083	OG0000056	n18												PON51882.1		PON98638.1		
N1.HOG0000084	OG0000056	n19												PON55776.1		PON99185.1		
N1.HOG0000085	OG0000056	n23												PON31784.1		PON89586.1		
N1.HOG0000086	OG0000056	n24												PON33657.1, PON42119.1		PON81116.1		
N1.HOG0000087	OG0000056	n26												PON64798.1		PON50600.1, PON87884.1		
N1.HOG0000088	OG0000056	n28														PON47905.1, PON81193.1, PON44615.1, PON90223.1		
N1.HOG0000089	OG0000056	n32												PON38692.1		PON63677.1, POO00677.1, PON90596.1, PON50399.1, PON98281.1		
N1.HOG0000090	OG0000056	n37												PON79172.1		PON87883.1		
N1.HOG0000091	OG0000056	n38												PON65015.1		PON56387.1, PON46296.1		
N1.HOG0000092	OG0000056	n47												PON45814.1		PON65007.1		
N1.HOG0000093	OG0000056	n48												PON50108.1, PON34018.1		PON88433.1, PON87194.1, PON56648.1		
N1.HOG0000094	OG0000056	n52												PON32377.1, PON63358.1		PON81109.1, PON40849.1, PON89502.1, PON88140.1, PON42148.1, PON91475.1, PON84023.1		
N1.HOG0000095	OG0000056	n60												PON41024.1		PON78901.1		
N1.HOG0000096	OG0000056	n61												PON50439.1				
N1.HOG0000097	OG0000059	n2												PON41776.1		PON98738.1		
N1.HOG0000098	OG0000059	n4												PON58468.1				
N1.HOG0000099	OG0000059	n16												PON58469.1		PON83938.1		
N1.HOG0000100	OG0000060	n1												PON44736.1		PON76344.1		
N1.HOG0000101	OG0000060	n25												PON44738.1		PON76343.1		
N1.HOG0000102	OG0000060	n33												PON33353.1		PON67338.1		
N1.HOG0000103	OG0000060	n54												PON59476.1		PON95888.1		
N1.HOG0000104	OG0000060	n61												PON59475.1		PON95887.1		
N1.HOG0000105	OG0000060	n83												PON67497.1		POO00022.1		
N1.HOG0000106	OG0000060	n96												PON77056.1		PON99841.1		
N1.HOG0000107	OG0000060	n131												PON47764.1		PON64989.1		
N1.HOG0000108	OG0000060	n148												PON36272.1		PON81359.1		
N1.HOG0000109	OG0000060	n173												PON45034.1		PON89912.1		
N1.HOG0000110	OG0000060	n191												PON78147.1				
N1.HOG0000111	OG0000060	n194												PON50012.1		PON82728.1		
N1.HOG0000112	OG0000060	n227												PON34305.1		PON90467.1		
N1.HOG0000113	OG0000060	n228												PON34303.1		PON90468.1		
N1.HOG0000114	OG0000060	n231												PON74076.1		POO01484.1		
N1.HOG0000115	OG0000060	n249												PON40209.1		PON99985.1		
N1.HOG0000116	OG0000060	n265												PON57320.1		PON93648.1		
N1.HOG0000117	OG0000060	n281												PON33511.1		PON64193.1		
N1.HOG0000118	OG0000060	n301												PON38579.1		PON76117.1		
N1.HOG0000119	OG0000061	n32														PON61378.1		
N1.HOG0000120	OG0000061	n33														PON50218.1		
N1.HOG0000121	OG0000061	n34														PON49353.1, PON50877.1		
N1.HOG0000122	OG0000061	n36												PON31504.1		PON33272.1		
N1.HOG0000123	OG0000061	n37												PON58134.1		PON94602.1, PON94606.1, PON57973.1, PON60277.1		
N1.HOG0000124	OG0000062	n1														PON63820.1, PON57899.1, PON61891.1		
N1.HOG0000125	OG0000062	n301												PON67097.1		PON81295.1		
N1.HOG0000126	OG0000062	n307												PON50749.1, PON49762.1, PON44202.1, PON60748.1, PON58754.1		PON91622.1		
N1.HOG0000127	OG0000062	n312												PON55645.1		PON63821.1		
N1.HOG0000128	OG0000062	n315												PON49760.1		PON70056.1		
N1.HOG0000129	OG0000065	n1												PON67241.1, PON55777.1		PON45668.1, PON89778.1		
N1.HOG0000130	OG0000065	n17												PON39991.1		POO02902.1		
N1.HOG0000131	OG0000065	n18												PON35969.1		PON60218.1, PON99439.1, PON79915.1		
N1.HOG0000132	OG0000066	n0														PON90228.1		
N1.HOG0000133	OG0000068	n0														PON92887.1		
N1.HOG0000134	OG0000073	n0												PON53293.1				
N1.HOG0000135	OG0000076	n0												PON51994.1		POO01577.1		
N1.HOG0000136	OG0000078	n1												PON74138.1, PON34426.1		PON86941.1		
N1.HOG0000137	OG0000078	n144												PON38844.1		PON86920.1		
N1.HOG0000138	OG0000079	n1												PON38893.1		PON98198.1		
N1.HOG0000139	OG0000079	n104														PON80913.1		
N1.HOG0000140	OG0000079	n145												PON70467.1		PON39867.1		
N1.HOG0000141	OG0000081	n16												PON74268.1		PON37966.1		
N1.HOG0000142	OG0000081	n21												PON31312.1		PON86290.1		
N1.HOG0000143	OG0000081	n22												PON43430.1				
N1.HOG0000144	OG0000081	n29												PON31560.1		PON40623.1		
N1.HOG0000145	OG0000081	n30												PON32052.1, PON74197.1, PON74270.1		PON34394.1		
N1.HOG0000146	OG0000081	n215												PON74338.1		PON84788.1, PON31307.1, PON84790.1, PON37963.1, PON80962.1		
N1.HOG0000147	OG0000081	n220												PON74341.1, PON74337.1		PON34400.1, POO01904.1		
N1.HOG0000148	OG0000081	n227														PON38773.1, PON40736.1, PON80963.1		
N1.HOG0000149	OG0000081	n230														PON84860.1		
N1.HOG0000150	OG0000081	n250												PON74207.1		PON40743.1		
N1.HOG0000151	OG0000081	n251												PON74204.1		PON40745.1, PON81308.1, PON40740.1		
N1.HOG0000152	OG0000081	n254												PON74273.1		PON37968.1, PON38772.1, PON84856.1, PON84854.1		
N1.HOG0000153	OG0000081	n258														PON84862.1, PON32087.1, PON84859.1		
N1.HOG0000154	OG0000082	n0												PON31152.1				
N1.HOG0000155	OG0000083	n7												PON52362.1				
N1.HOG0000156	OG0000083	n23												PON56853.1				
N1.HOG0000157	OG0000083	n273												PON47920.1, PON64392.1				
N1.HOG0000158	OG0000084	n1												PON77028.1, PON67103.1, PON54500.1		PON40996.1		
N1.HOG0000159	OG0000084	n260												PON50748.1		PON91621.1		
N1.HOG0000160	OG0000084	n261												PON49129.1		PON90211.1		
N1.HOG0000161	OG0000084	n262												PON50750.1		PON60729.1, PON73821.1		
N1.HOG0000162	OG0000084	n266												PON51593.1		PON61228.1, PON46362.1		
N1.HOG0000163	OG0000084	n268												PON51779.1		PON44395.1		
N1.HOG0000164	OG0000085	n1												PON75935.1				
N1.HOG0000165	OG0000085	n79												PON77602.1		PON97181.1		
N1.HOG0000166	OG0000086	n0												PON75489.1		PON99369.1		
N1.HOG0000167	OG0000089	n1												PON79531.1		POO03524.1, PON36557.1		
N1.HOG0000168	OG0000089	n86														PON66302.1		
N1.HOG0000169	OG0000089	n261														POO03523.1		
N1.HOG0000170	OG0000090	n1														PON36643.1		
N1.HOG0000171	OG0000090	n3												PON62364.1, PON73524.1		PON42744.1		
N1.HOG0000172	OG0000091	n0														PON38514.1		
N1.HOG0000173	OG0000092	n7														PON53209.1		
N1.HOG0000174	OG0000092	n14														PON98082.1		
N1.HOG0000175	OG0000092	n196												PON60856.1		POO02586.1		
N1.HOG0000176	OG0000097	n0												PON36884.1, PON45922.1		PON92320.1		
N1.HOG0000177	OG0000100	n29														PON52406.1, PON83369.1, PON82243.1, PON70332.1		
N1.HOG0000178	OG0000100	n34												PON45436.1		PON45186.1		
N1.HOG0000179	OG0000100	n36												PON56723.1		PON83368.1		
N1.HOG0000180	OG0000100	n42												PON48752.1		PON83962.1		
N1.HOG0000181	OG0000100	n87														PON83963.1		
N1.HOG0000182	OG0000100	n88														POO01409.1, PON84399.1		
N1.HOG0000183	OG0000104	n1												PON40428.1		PON82616.1		
N1.HOG0000184	OG0000104	n26												PON38543.1		PON58775.1		
N1.HOG0000185	OG0000104	n149												PON38540.1		PON58301.1		
N1.HOG0000186	OG0000104	n187												PON40434.1, PON40435.1		PON82620.1		
N1.HOG0000187	OG0000104	n194												PON40429.1		PON82617.1		
N1.HOG0000188	OG0000104	n227												PON40425.1		POO03244.1		
N1.HOG0000189	OG0000106	n0												PON38669.1		PON78710.1		
N1.HOG0000190	OG0000113	n1												PON55799.1				
N1.HOG0000191	OG0000113	n235														PON89726.1		
N1.HOG0000192	OG0000116	n73												PON78444.1, PON48581.1		PON40354.1		
N1.HOG0000193	OG0000116	n82												PON78443.1		PON83584.1		
N1.HOG0000194	OG0000116	n83												PON49185.1		PON92129.1		
N1.HOG0000195	OG0000116	n84												PON47319.1				
N1.HOG0000196	OG0000116	n91														PON80848.1		
N1.HOG0000197	OG0000116	n107														PON38296.1, PON87613.1		
N1.HOG0000198	OG0000116	n192														PON66297.1, PON35670.1, PON58684.1		
N1.HOG0000199	OG0000116	n199												PON77171.1		PON96540.1		
N1.HOG0000200	OG0000116	n207												PON77170.1		PON96541.1		
N1.HOG0000201	OG0000116	n208												PON33440.1		PON81511.1		
N1.HOG0000202	OG0000117	n2												PON71068.1		PON94437.1		
N1.HOG0000203	OG0000117	n28												PON51560.1				
N1.HOG0000204	OG0000117	n210												PON80328.1				
N1.HOG0000205	OG0000117	n213												PON45771.1		POO01353.1		
N1.HOG0000206	OG0000118	n0												PON58970.1		PON60504.1		
N1.HOG0000207	OG0000119	n3												PON69749.1, PON52626.1		PON89236.1		
N1.HOG0000208	OG0000119	n5												PON77941.1		PON57118.1		
N1.HOG0000209	OG0000119	n205												PON41454.1		PON90895.1		
N1.HOG0000210	OG0000123	n0														PON66432.1		
N1.HOG0000211	OG0000124	n9												PON75954.1				
N1.HOG0000212	OG0000124	n17												PON32714.1		PON97903.1		
N1.HOG0000213	OG0000124	n19												PON37756.1				
N1.HOG0000214	OG0000124	n23												PON75956.1				
N1.HOG0000215	OG0000124	n28												PON56580.1				
N1.HOG0000216	OG0000124	n29												PON75364.1		PON97910.1		
N1.HOG0000217	OG0000124	n215												PON49473.1		PON37942.1, PON99638.1		
N1.HOG0000218	OG0000124	n218														PON75655.1		
N1.HOG0000219	OG0000127	n0														PON49492.1		
N1.HOG0000220	OG0000129	n0														PON91048.1		
N1.HOG0000221	OG0000130	n0														PON91078.1		
N1.HOG0000222	OG0000133	n4												PON39110.1		PON99971.1		
N1.HOG0000223	OG0000133	n52												PON39749.1		PON93787.1		
N1.HOG0000224	OG0000133	n133														PON93808.1, PON93807.1		
N1.HOG0000225	OG0000133	n135												PON39755.1		PON93781.1		
N1.HOG0000226	OG0000133	n147												PON63292.1		PON85431.1		
N1.HOG0000227	OG0000133	n149												PON39113.1		PON99966.1		
N1.HOG0000228	OG0000133	n191												PON63290.1		PON85429.1		
N1.HOG0000229	OG0000133	n196												PON39762.1		PON93776.1		
N1.HOG0000230	OG0000133	n197												PON39743.1		PON99969.1, PON93780.1		
N1.HOG0000231	OG0000133	n199												PON39751.1, PON39108.1, PON70023.1		PON99964.1		
N1.HOG0000232	OG0000133	n204												PON39744.1		PON93801.1		
N1.HOG0000233	OG0000133	n205												PON39766.1, PON39764.1		PON93802.1		
N1.HOG0000234	OG0000133	n207												PON39760.1, PON39758.1				
N1.HOG0000235	OG0000133	n209												PON39747.1		PON93789.1		
N1.HOG0000236	OG0000133	n210												PON65151.1		PON98217.1		
N1.HOG0000237	OG0000134	n44												PON78930.1		PON63529.1		
N1.HOG0000238	OG0000134	n45												PON65431.1		PON92353.1		
N1.HOG0000239	OG0000134	n84												PON78929.1, PON51281.1				
N1.HOG0000240	OG0000134	n86														PON58071.1, PON93519.1		
N1.HOG0000241	OG0000134	n88														PON99148.1		
N1.HOG0000242	OG0000134	n89														PON92361.1		
N1.HOG0000243	OG0000134	n93												PON51280.1		PON82518.1		
N1.HOG0000244	OG0000135	n1												PON51805.1		PON91029.1, PON42473.1, PON42471.1		
N1.HOG0000245	OG0000135	n33												PON38840.1, PON34430.1		PON88388.1		
N1.HOG0000246	OG0000136	n0												PON53097.1				
N1.HOG0000247	OG0000139	n1												PON76569.1		POO02972.1		
N1.HOG0000248	OG0000139	n20												PON76571.1		POO02974.1		
N1.HOG0000249	OG0000139	n48												PON46002.1, PON39707.1, PON45999.1		PON93463.1		
N1.HOG0000250	OG0000139	n55												PON39706.1		POO02970.1		
N1.HOG0000251	OG0000139	n56												PON45997.1		POO02966.1, POO02965.1		
N1.HOG0000252	OG0000139	n58												PON45995.1		POO02963.1		
N1.HOG0000253	OG0000141	n2												PON31240.1, PON74408.1				
N1.HOG0000254	OG0000141	n70														PON49721.1		
N1.HOG0000255	OG0000141	n122												PON46752.1, PON74398.1, PON74340.1, PON49654.1, PON63967.1, PON67643.1		POO02512.1		
N1.HOG0000256	OG0000141	n128												PON74404.1, PON74402.1		PON49729.1		
N1.HOG0000257	OG0000141	n130												PON74411.1		PON49722.1, PON49717.1		
N1.HOG0000258	OG0000142	n0														PON98799.1		
N1.HOG0000259	OG0000144	n2												PON58728.1		PON95365.1		
N1.HOG0000260	OG0000144	n3												PON36962.1		PON92644.1, PON84435.1		
N1.HOG0000261	OG0000146	n1														PON92277.1		
N1.HOG0000262	OG0000146	n18												PON47878.1		PON58764.1		
N1.HOG0000263	OG0000147	n0												PON78542.1				
N1.HOG0000264	OG0000148	n3												PON69300.1		POO01645.1		
N1.HOG0000265	OG0000148	n4												PON73882.1		PON94279.1, PON54877.1, PON83681.1		
N1.HOG0000266	OG0000148	n7												PON63182.1, PON78423.1, PON42743.1				
N1.HOG0000267	OG0000150	n1												PON37529.1		PON92362.1		
N1.HOG0000268	OG0000150	n33												PON59470.1		PON95880.1		
N1.HOG0000269	OG0000150	n34												PON35054.1		PON86069.1		
N1.HOG0000270	OG0000150	n35												PON60865.1		PON70195.1		
N1.HOG0000271	OG0000150	n36												PON57705.1		PON78264.1		
N1.HOG0000272	OG0000150	n39												PON38028.1		PON37199.1		
N1.HOG0000273	OG0000150	n40												PON79845.1		PON80994.1		
N1.HOG0000274	OG0000150	n41												PON73026.1		POO03824.1		
N1.HOG0000275	OG0000154	n1												PON53471.1		PON89367.1		
N1.HOG0000276	OG0000154	n100												PON57798.1		PON89988.1		
N1.HOG0000277	OG0000154	n101												PON73406.1		PON93924.1		
N1.HOG0000278	OG0000154	n104												PON77520.1		PON81590.1		
N1.HOG0000279	OG0000154	n139												PON58852.1		PON99767.1		
N1.HOG0000280	OG0000154	n155												PON61075.1		PON93343.1		
N1.HOG0000281	OG0000154	n171												PON50531.1		POO00904.1		
N1.HOG0000282	OG0000155	n0												PON36714.1				
N1.HOG0000283	OG0000160	n0												PON57417.1		PON76323.1		
N1.HOG0000284	OG0000164	n14														PON50055.1		
N1.HOG0000285	OG0000164	n17												PON67927.1		PON55735.1		
N1.HOG0000286	OG0000164	n18												PON31455.1		PON89716.1		
N1.HOG0000287	OG0000164	n21												PON32619.1, PON34323.1		PON74177.1, PON85139.1		
N1.HOG0000288	OG0000164	n127												PON67914.1, PON49469.1, PON76438.1, PON37474.1		POO03864.1		
N1.HOG0000289	OG0000164	n137												PON53321.1		PON98756.1		
N1.HOG0000290	OG0000164	n139												PON69194.1		PON81162.1		
N1.HOG0000291	OG0000164	n140												PON77750.1, PON38240.1		PON92327.1		
N1.HOG0000292	OG0000164	n147												PON76033.1, PON32032.1				
N1.HOG0000293	OG0000164	n149												PON45404.1		PON95807.1		
N1.HOG0000294	OG0000164	n169												PON45403.1, PON38239.1				
N1.HOG0000295	OG0000164	n171												PON52565.1		POO02404.1		
N1.HOG0000296	OG0000164	n172												PON41703.1		PON63804.1		
N1.HOG0000297	OG0000166	n2														PON60927.1		
N1.HOG0000298	OG0000166	n78												PON39566.1		PON60918.1		
N1.HOG0000299	OG0000166	n79												PON39568.1		PON60920.1		
N1.HOG0000300	OG0000166	n80												PON39575.1		PON60925.1		
N1.HOG0000301	OG0000167	n1												PON72369.1, PON47932.1		PON96546.1		
N1.HOG0000302	OG0000167	n4												PON47931.1		PON96543.1, PON96549.1		
N1.HOG0000303	OG0000168	n1												PON51599.1		PON92743.1		
N1.HOG0000304	OG0000168	n19												PON51603.1		PON92739.1		
N1.HOG0000305	OG0000168	n20												PON51601.1		PON92741.1, PON92740.1		
N1.HOG0000306	OG0000168	n27												PON51604.1		PON92737.1		
N1.HOG0000307	OG0000168	n56												PON51588.1		PON92751.1		
N1.HOG0000308	OG0000168	n76												PON51590.1		PON92750.1		
N1.HOG0000309	OG0000168	n121												PON51598.1		PON92744.1		
N1.HOG0000310	OG0000170	n1												PON31983.1		PON67343.1, PON35172.1		
N1.HOG0000311	OG0000170	n72												PON46621.1		PON35171.1, PON89316.1		
N1.HOG0000312	OG0000170	n76												PON33355.1		PON66578.1, PON90667.1, PON67341.1		
N1.HOG0000313	OG0000170	n82												PON46624.1		PON82426.1		
N1.HOG0000314	OG0000170	n84												PON33359.1		PON35170.1		
N1.HOG0000315	OG0000170	n85												PON33357.1		PON40398.1		
N1.HOG0000316	OG0000170	n86												PON32890.1, PON46620.1				
N1.HOG0000317	OG0000171	n3												PON58373.1		PON46246.1		
N1.HOG0000318	OG0000171	n4												PON58371.1		PON46245.1		
N1.HOG0000319	OG0000173	n0												PON75788.1		PON97626.1		
N1.HOG0000320	OG0000175	n1														PON80415.1		
N1.HOG0000321	OG0000175	n18														PON90707.1		
N1.HOG0000322	OG0000175	n101														PON66928.1		
N1.HOG0000323	OG0000176	n2														PON81624.1		
N1.HOG0000324	OG0000176	n93														PON82244.1		
N1.HOG0000325	OG0000177	n0														PON76978.1		
N1.HOG0000326	OG0000180	n0												PON74540.1		PON99242.1		
N1.HOG0000327	OG0000181	n0														PON91371.1		
N1.HOG0000328	OG0000182	n0														PON71918.1		
N1.HOG0000329	OG0000185	n2												PON55850.1		PON92610.1		
N1.HOG0000330	OG0000185	n3												PON63838.1		PON81889.1		
N1.HOG0000331	OG0000186	n1												PON53005.1		PON81458.1		
N1.HOG0000332	OG0000186	n21												PON53006.1		PON81461.1		
N1.HOG0000333	OG0000186	n52												PON53000.1, PON53003.1				
N1.HOG0000334	OG0000186	n54												PON49884.1				
N1.HOG0000335	OG0000186	n62												PON53007.1		PON81462.1		
N1.HOG0000336	OG0000186	n66												PON53008.1		PON81463.1		
N1.HOG0000337	OG0000186	n70												PON53001.1		PON81457.1		
N1.HOG0000338	OG0000186	n71												PON52993.1		PON82236.1		
N1.HOG0000339	OG0000186	n72												PON52992.1		PON82238.1		
N1.HOG0000340	OG0000186	n74												PON52986.1		PON81451.1, PON82240.1		
N1.HOG0000341	OG0000186	n92												PON49894.1				
N1.HOG0000342	OG0000186	n96												PON49888.1		PON82261.1		
N1.HOG0000343	OG0000186	n97												PON49890.1		PON82262.1		
N1.HOG0000344	OG0000186	n166												PON49898.1		PON82268.1		
N1.HOG0000345	OG0000186	n168												PON49904.1		PON46982.1		
N1.HOG0000346	OG0000186	n169												PON49900.1, PON49906.1		PON46980.1		
N1.HOG0000347	OG0000186	n171												PON49897.1		PON82263.1, PON82266.1		
N1.HOG0000348	OG0000188	n1												PON42865.1		PON95782.1		
N1.HOG0000349	OG0000188	n24												PON46965.1		PON95791.1		
N1.HOG0000350	OG0000188	n52												PON69843.1		PON98516.1		
N1.HOG0000351	OG0000188	n53												PON46964.1		PON95792.1		
N1.HOG0000352	OG0000188	n82												PON69841.1		PON98518.1		
N1.HOG0000353	OG0000188	n85												PON42871.1		PON83560.1		
N1.HOG0000354	OG0000188	n86												PON42872.1		PON83561.1		
N1.HOG0000355	OG0000188	n89												PON54671.1		PON69190.1		
N1.HOG0000356	OG0000188	n107												PON54669.1		PON69188.1		
N1.HOG0000357	OG0000188	n126												PON54668.1		PON69187.1		
N1.HOG0000358	OG0000191	n0														PON67522.1		
N1.HOG0000359	OG0000197	n8												PON41991.1		PON41073.1, PON75419.1, PON48183.1		
N1.HOG0000360	OG0000197	n13														PON57132.1, PON70693.1		
N1.HOG0000361	OG0000197	n15												PON63652.1		PON56647.1		
N1.HOG0000362	OG0000197	n16												PON49297.1		PON41504.1		
N1.HOG0000363	OG0000197	n22												PON59735.1		PON58510.1		
N1.HOG0000364	OG0000197	n23												PON45372.1		PON33324.1, PON88431.1		
N1.HOG0000365	OG0000197	n27												PON70948.1, PON76875.1, PON77977.1, PON35073.1		PON92343.1		
N1.HOG0000366	OG0000197	n31												PON78336.1		PON69484.1		
N1.HOG0000367	OG0000197	n33												PON75727.1		PON81857.1		
N1.HOG0000368	OG0000197	n34												PON70947.1		PON99380.1, PON98093.1		
N1.HOG0000369	OG0000197	n36												PON33670.1, PON76876.1		PON84918.1		
N1.HOG0000370	OG0000197	n38												PON39195.1		PON87026.1		
N1.HOG0000371	OG0000197	n39												PON50440.1		PON98092.1		
N1.HOG0000372	OG0000197	n150												PON63357.1, PON64498.1		PON97572.1		
N1.HOG0000373	OG0000198	n1												PON31176.1, PON31553.1, PON73690.1		PON86578.1		
N1.HOG0000374	OG0000198	n22														PON94864.1		
N1.HOG0000375	OG0000198	n24												PON57057.1				
N1.HOG0000376	OG0000198	n110												PON79630.1, PON42277.1, PON36582.1, PON31238.1				
N1.HOG0000377	OG0000198	n114												PON35260.1, PON65869.1				
N1.HOG0000378	OG0000198	n116												PON62892.1, PON71279.1, PON44141.1, PON50458.1				
N1.HOG0000379	OG0000198	n120												PON46472.1, PON78020.1, PON59596.1				
N1.HOG0000380	OG0000198	n127												PON36583.1, PON70143.1, PON65868.1, PON42276.1		PON85987.1, PON90635.1		
N1.HOG0000381	OG0000198	n132												PON66208.1, PON79629.1, PON57261.1		PON80912.1		
N1.HOG0000382	OG0000198	n135												PON41193.1		PON46588.1		
N1.HOG0000383	OG0000198	n136												PON43620.1				
N1.HOG0000384	OG0000199	n1												PON75745.1		PON97590.1		
N1.HOG0000385	OG0000199	n17														PON68110.1		
N1.HOG0000386	OG0000200	n2														POO00740.1, PON71622.1		
N1.HOG0000387	OG0000200	n94												PON38894.1		PON98197.1		
